Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
32,32,9-May,@,MIL,"L,7-11",43,37,7,12,5,0,1,7,6,0,10,0,0,0,0,2,0,0,0.277,0.346,0.417,0.762,9,17,R,W.Peralta(38)
33,33,10-May,@,MIL,"L,4-7",40,34,4,11,3,0,1,3,5,0,4,0,1,0,0,3,0,0,0.278,0.348,0.419,0.767,9,16,R,C.Anderson(41)
34,34,11-May,@,MIL,"W,4-1",40,33,4,8,2,0,1,3,6,0,11,0,1,0,1,2,2,0,0.277,0.348,0.419,0.767,9,14,R,J.Nelson(68)
35,35,12-May,,TBR,"L,4-5",37,33,4,5,3,0,0,2,4,0,7,0,0,0,1,0,0,0,0.274,0.345,0.414,0.759,6,9,R,A.Cobb(53)
36,36,13-May,,TBR,"W,6-3",33,29,6,7,4,0,1,6,3,0,9,0,1,0,0,1,0,0,0.273,0.344,0.415,0.76,3,9,L,B.Snell(35)
37,37,14-May,,TBR,"L,2-11",38,34,2,6,2,0,0,2,4,0,10,0,0,0,1,0,1,0,0.27,0.342,0.411,0.753,9,11,R,M.Andriese(52)
38,38,16-May,@,STL,"W,6-3",37,31,6,6,0,0,2,5,3,0,4,1,1,1,3,1,1,1,0.269,0.341,0.41,0.75,4,14,R,L.Lynn(57)
39,39,17-May,@,STL,"W,5-4",53,48,5,11,1,2,1,5,3,2,11,1,0,1,0,1,1,0,0.267,0.338,0.409,0.748,9,21,R,M.Leake(60)
40,40,18-May,@,OAK,"L,3-8",35,31,3,6,0,0,1,3,3,0,10,0,0,1,0,1,1,0,0.266,0.337,0.407,0.743,5,10,R,S.Gray(58)
41,41,19-May,@,OAK,"L,2-3",42,38,2,10,3,0,1,2,4,0,9,0,0,0,1,2,0,1,0.265,0.337,0.407,0.744,10,11,R,K.Graveman(54)
42,42,20-May,@,OAK,"L,3-8",35,35,3,7,1,0,1,3,0,0,9,0,0,0,1,0,0,0,0.264,0.334,0.405,0.738,5,9,L,S.Manaea(50)
43,43,21-May,@,OAK,"W,12-3",46,39,12,15,3,0,1,11,6,0,7,0,0,1,1,1,4,1,0.267,0.337,0.408,0.745,7,9,R,A.Triggs(34)
44,44,23-May,,TEX,"W,11-6",43,34,11,12,3,0,0,8,8,1,7,0,0,1,0,0,1,0,0.269,0.34,0.409,0.749,8,9,R,A.Cashner(33)
45,45,24-May,,TEX,"W,9-4",39,33,9,12,1,0,0,8,5,2,5,0,0,1,0,2,1,0,0.271,0.342,0.409,0.751,6,12,L,M.Perez(51)
46,46,25-May,,TEX,"W,6-2",38,32,6,10,1,0,2,6,5,1,7,1,0,0,0,2,3,0,0.272,0.344,0.411,0.755,8,10,R,N.Martinez(39)
47,47,26-May,,SEA,"W,3-0",38,31,3,8,2,0,0,1,7,0,8,0,0,0,0,1,0,0,0.272,0.345,0.41,0.755,11,9,R,Y.Gallardo(41)
48,48,27-May,,SEA,"W,6-0",35,31,6,9,0,0,1,6,2,0,3,2,0,0,0,0,2,0,0.272,0.346,0.409,0.755,5,9,R,R.Whalen(32)
49,49,28-May,,SEA,"L,0-5",32,29,0,5,1,0,0,0,2,0,4,1,0,0,2,4,0,1,0.27,0.344,0.406,0.75,5,11,R,C.Bergman(69)
50,50,29-May,@,CHW,"L,4-5",36,30,4,4,2,0,1,4,4,0,10,1,0,1,0,0,0,0,0.268,0.342,0.404,0.746,5,13,L,D.Holmberg(45)
51,51,30-May,@,CHW,"W,13-7",47,42,13,16,5,0,6,13,4,0,11,1,0,0,0,0,1,1,0.271,0.345,0.416,0.761,7,10,L,J.Quintana(14)
52,52,31-May,@,CHW,"W,4-1",36,33,4,7,1,0,0,4,3,1,9,0,0,0,0,1,0,0,0.269,0.344,0.413,0.757,5,9,R,M.Pelfrey(66)
